
keyword,category,description
exposed,manipulative,Suggests hidden information is being revealed to create urgency or distrust
shocking,emotionally_loaded,Designed to provoke a strong emotional response
secret,manipulative,Implies withheld information to generate curiosity or distrust
unbelievable,emotionally_loaded,Creates a sense of disbelief to exaggerate importance
agenda,manipulative,Suggests someone has a hidden motive
hidden truth,manipulative,Implies concealment to incite suspicion
wake up,manipulative,Used to suggest others are blind or unaware, triggering urgency
breaking,emotionally_loaded,Conveys urgency and importance, often used to shock
must see,manipulative,Imposes necessity to consume content
they don't want you to know,manipulative,Implies censorship or conspiracy
alert,emotionally_loaded,Used to raise alarm or provoke anxiety
disturbing,emotionally_loaded,Induces emotional discomfort
warning,emotionally_loaded,Evokes fear or concern
ultimate,emotionally_loaded,Used to exaggerate importance
now more than ever,manipulative,Applies pressure through false urgency
nightmare,emotionally_loaded,Exaggerates negativity for emotional impact
brainwashed,manipulative,Insinuates the target is misled or controlled
uncensored,manipulative,Implies mainstream suppression or filtering
red pill,manipulative,Used to suggest awakening from lies or control
mainstream media,manipulative,Often used derogatorily to imply bias or control
exposed agenda,manipulative,Combines urgency and suspicion of hidden motives
wake up sheeple,manipulative,Implies others are blind followers, used to manipulate awareness
you've been lied to,manipulative,Direct accusation of deception to trigger distrust
truth bomb,emotionally_loaded,Used to suggest impactful revelation
chaos,emotionally_loaded,Evokes fear or lack of control
traitor,manipulative,Used to incite blame or suspicion against dissenters
puppet,manipulative,Suggests someone is being controlled by others
deep state,manipulative,Implies shadowy control beyond public government
exposed files,manipulative,Implies a leak or breach to provoke alarm
you decide,manipulative,Pretends to offer neutrality while framing biased views
truth revealed,manipulative,Implies a previous cover-up or lie
drastic,emotionally_loaded,Exaggerates the severity of a situation
corrupt,manipulative,Suggests dishonesty or immorality in authority
fact checkers,manipulative,Framed sarcastically to imply censorship
planted evidence,manipulative,Suggests falsification to control outcomes
enemies within,manipulative,Implies internal betrayal to stoke fear
take back control,manipulative,Used to incite action or revolt
only the beginning,emotionally_loaded,Creates suspense and future fear
desperate,emotionally_loaded,Implies loss of hope or extreme measures
infiltrated,manipulative,Suggests hidden influence or sabotage
absolute proof,manipulative,Claims certainty to discourage doubt
they're coming for,manipulative,Instills paranoia or fear of attack
the real reason,manipulative,Implies deception in mainstream explanations
epic,emotionally_loaded,Exaggerates importance or grandeur
disaster,emotionally_loaded,Highlights failure or chaos for emotional reaction
breaking point,emotionally_loaded,Implies imminent collapse or conflict
control the narrative,manipulative,Suggests media or institutional bias
do your research,manipulative,Dismisses facts while implying deeper hidden truth
forced,emotionally_loaded,Implies coercion or lack of choice
scary,emotionally_loaded,Provokes fear intentionally
shameful,emotionally_loaded,Used to induce guilt or judgment
insider info,manipulative,Implies access to secret knowledge
